propertytype
Property_Apartment
Property_Barn
Property_Bed and breakfast
Property_Boat
Property_Boutique hotel
Property_Bungalow
Property_Bus
Property_Cabin
Property_Camper/RV
Property_Campsite
Property_Condominium
Property_Cottage
Property_Dorm
Property_Farm stay
Property_Guest suite
Property_Guesthouse
Property_Hostel
Property_Hotel
Property_House
Property_In-law
Property_Loft
Property_Other
Property_Resort
Property_Serviced apartment
Property_Timeshare
Property_Tiny house
Property_Townhouse
Property_Vacation home
Property_Villa
